а	a
болуштар	b o l u sh t a r
болуштарга	b o l u sh t a r gh a
болуштарды	b o l u sh t a r d ih
болуштардын	b o l u sh t a r d ih n
болушту	b o l u sh t u
болуштук	b o l u sh t u к
болуштукка	b o l u sh t u q q a
болуштукта	b o l u sh t u q t a
болуштуктан	b o l u sh t u q t a n
болуштукту	b o l u sh t u q t u
болуштукуна	b o l u sh t u q u n a
болуштун	b o l u sh t u n
болушу	b o l u sh u
болушун	b o l u sh u n
болушуна	b o l u sh u n a
болушунан	b o l u sh u n a n
болушундагылар	b o l u sh u n d a gh ih l a r
болушунун	b o l u sh u n u n
болушуп	b o l u sh u p
болушуң	b o l u sh u ng
болушуңар	b o l u sh u ng a r
болущ	b o l u sh
болуңузчу	b o l u ng u z tsh u
болчу	b o l tsh u
болчудай	b o l tsh u d a j
болчудаймын	b o l tsh u d a j m ih n
болыневиктер	b o l ih n e вi k t e r
болышевиктер	b o l ih sh e вi k t e r
бооз	b o o z
боолголоп	b o o l gh o l o p
боолгоп	b o o l gh o p
боолуу	b o o l u u
боор	b o o r
боордугу	b o o r d u gh u
боорлорум	b o o r l o r u m
боорсок	b o o r s o к
боорсоктон	b o o r s o q t o n
боору	b o o r u
боорукер	b o o r u k e r
боорукерлигин	b o o r u k e r l i g i n
боорукерлик	b o o r u k e r l i к
боорум	b o o r u m
бооруман	b o o r u m a n
боорун	b o o r u n
бооруна	b o o r u n a
боосу	b o o s u
боосун	b o o s u n
боосунан	b o o s u n a n
боотерек	b o o t e r e к
бопбоз	b o p b o z
борбогой	b o r b o gh o j
борборго	b o r b o r gh o
борбордун	b o r b o r d u n
борбору	b o r b o r u
борборуна	b o r b o r u n a
борборунда	b o r b o r u n d a
боркборк	b o r кb o r к
боркок	b o r q o к
боркулдаганы	b o r q u l d a gh a n ih
боркулдап	b o r q u l d a p
борозго	b o r o z gh o
борозду	b o r o z d u
боромбай	b o r o m b a j
боромбайга	b o r o m b a j gh a
боромбайды	b o r o m b a j d ih
боромбайдын	b o r o m b a j d ih n
боронбай	b o r o n b a j
боронбайдын	b o r o n b a j d ih n
бороон	b o r o o n
бороонго	b o r o o n gh o
борош	b o r o sh
борпоң	b o r p o ng
борсулдап	b o r s u l d a p
борчук	b o r tsh u к
борчуктап	b o r tsh u q t a p
борчуктун	b o r tsh u q t u n
босогого	b o s o gh o gh o
босогодон	b o s o gh o d o n
босогону	b o s o gh o n u
босогонун	b o s o gh o n u n
босогосун	b o s o gh o s u n
босогосуна	b o s o gh o s u n a
босогосунан	b o s o gh o s u n a n
бостек	b o s t e к
бостекке	b o s t e k k e
бостектен	b o s t e k t e n
бостектин	b o s t e k t i n
ботодой	b o t o d o j
ботойдон	b o t o j d o n
ботом	b o t o m
ботонун	b o t o n u n
бош	b o sh
бошобогону	b o sh o w o gh o n u
бошобойт	b o sh o w o j t
бошогон	b o sh o gh o n
бошогонун	b o sh o gh o n u n
бошойбуз	b o sh o j b u z
бошойт	b o sh o j t
бошомоксуң	b o sh o m o q s u ng
бошондуңузбу	b o sh o n d u ng u z b u
бошоно	b o sh o n o
бошонсом	b o sh o n s o m
бошонуп	b o sh o n u p
бошоор	b o sh o o r
бошоп	b o sh o p
бошот	b o sh o t
бошоткондо	b o sh o t q o n d o
бошотконун	b o sh o t q o n u n
бошоткула	b o sh o t q u l a
бошотпойсуңар	b o sh o t p o j s u ng a r
бошоттуруп	b o sh o t t u r u p
бошотуп	b o sh o t u p
бошотууга	b o sh o t u u gh a
бошотушту	b o sh o t u sh t u
бошотчудай	b o sh o t tsh u d a j
боштондугу	b o sh t o n d u gh u
боштондук	b o sh t o n d u к
боштондукка	b o sh t o n d u q q a
боштугу	b o sh t u gh u
бою	b o j u
боюбашына	b o j u b a sh ih n a
боюн	b o j u n
боюна	b o j u n a
боюнда	b o j u n d a
боюндагы	b o j u n d a gh ih
боюнкөздөй	b o j u n k oe z d oe j
боюнча	b o j u n tsh a
брат	b r a t
бригадир	b r i gh a d i r
бригадирдин	b r i gh a d i r d i n
бригадири	b r i gh a d i r i
бу	b u
бубакты	b u w a q t ih
буга	b u gh a
бугу	b u gh u
бугуп	b u gh u p
будамайлап	b u d a m a j l a p
буза	b u z a
бузабы	b u z a w ih
бузайын	b u z a j ih n
бузбаган	b u z b a gh a n
бузбай	b u z b a j
бузбайм	b u z b a j m
бузбайт	b u z b a j t
бузгандыгы	b u z gh a n d ih gh ih
бузгус	b u z gh u s
бузду	b u z d u
бузук	b u z u к
бузулат	b u z u l a t
бузулбай	b u z u l b a j
бузулбайт	b u z u l b a j t
бузулган	b u z u l gh a n
бузулганын	b u z u l gh a n ih n
бузулуп	b u z u l u p
бузулушунан	b u z u l u sh u n a n
бузуп	b u z u p
бузурман	b u z u r m a n
бузурмандын	b u z u r m a n d ih n
бузууга	b u z u u gh a
бузушпай	b u z u sh p a j
буйдала	b u j d a l a
буйдалбай	b u j d a l b a j
буйдалган	b u j d a l gh a n
буйдалды	b u j d a l d ih
буйдалып	b u j d a l ih p
буйдалышынын	b u j d a l ih sh ih n ih n
буйрубагансып	b u j r u w a gh a n s ih p
буйруган	b u j r u gh a n
буйругу	b u j r u gh u
буйругун	b u j r u gh u n
буйрук	b u j r u к
буйруктарьь	b u j r u q t a r ьь
буйруса	b u j r u s a
буйтап	b u j t a p
бук	b u к
бука	b u q a
букага	b u q a gh a
букадай	b u q a d a j
букалар	b u q a l a r
буканын	b u q a n ih n
букар	b u q a r
букаралар	b u q a r a l a r
букараларга	b u q a r a l a r gh a
букараларда	b u q a r a l a r d a
букаралардан	b u q a r a l a r d a n
букараларды	b u q a r a l a r d ih
букаралардын	b u q a r a l a r d ih n
букараларына	b u q a r a l a r ih n a
букача	b u q a tsh a
букжуйган	b u q zh u j gh a n
букжуюп	b u q zh u j u p
букжуюшуп	b u q zh u j u sh u p
букту	b u q t u
бул	b u l
булаган	b u l a gh a n
булагы	b u l a gh ih
булайт	b u l a j t
булайып	b u l a j ih p
булак	b u l a к
булакка	b u l a q q a
булактаган	b u l a q t a gh a n
булактай	b u l a q t a j
булактан	b u l a q t a n
булактап	b u l a q t a p
булактардан	b u l a q t a r d a n
булактаткан	b u l a q t a t q a n
булакты	b u l a q t ih
булактын	b u l a q t ih n
булап	b u l a p
булар	b u l a r
буларга	b u l a r gh a
булардан	b u l a r d a n
буларды	b u l a r d ih
булардын	b u l a r d ih n
булаң	b u l a ng
булаңгыр	b u l a ng gh ih r
булбул	b u l b u l
булбулга	b u l b u l gh a
булбулдарды	b u l b u l d a r d ih
булбулдардын	b u l b u l d a r d ih n
булбулду	b u l b u l d u
булбулдун	b u l b u l d u n
булгадап	b u l gh a d a p
булгады	b u l gh a d ih
булгалады	b u l gh a l a d ih
булгалактатып	b u l gh a l a q t a t ih p
булгалап	b u l gh a l a p
булгары	b u l gh a r ih
булдуруктаганына	b u l d u r u q t a gh a n ih n a
булдуруктап	b u l d u r u q t a p
булдуруктатып	b u l d u r u q t a t ih p
булкунтуп	b u l q u n t u p
булкуп	b u l q u p
булкушуп	b u l q u sh u p
булт	b u l t
бултактатпай	b u l t a q t a t p a j
бултактатып	b u l t a q t a t ih p
булуккан	b u l u q q a n
булутка	b u l u t q a
булуттан	b u l u t t a n
булуттар	b u l u t t a r
булуттуу	b u l u t t u u
булуңбурчтарды	b u l u ng b u r tsh t a r d ih
булчуйтуп	b u l tsh u j t u p
булчуңдары	b u l tsh u ng d a r ih
бура	b u r a
бурадарыма	b u r a d a r ih m a
буралды	b u r a l d ih
буралып	b u r a l ih p
бурат	b u r a t
бурбай	b u r b a j
бурбайт	b u r b a j t
бурбастан	b u r b a s t a n
бурган	b u r gh a n
бурганы	b u r gh a n ih
бурдап	b u r d a p
бурду	b u r d u
буржуйлар	b u r zh u j l a r
бурк	b u r к
буркулдап	b u r q u l d a p
буркураган	b u r q u r a gh a n
буркуратышып	b u r q u r a t ih sh ih p
буроо	b u r o o
буроого	b u r o o gh o
буроосу	b u r o o s u
буруксуган	b u r u q s u gh a n
буруксуйт	b u r u q s u j t
буруксутуп	b u r u q s u t u p
буруксутушат	b u r u q s u t u sh a t
бурула	b u r u l a
бурулат	b u r u l a t
бурулбай	b u r u l b a j
бурулган	b u r u l gh a n
бурулдайт	b u r u l d a j t
бурулду	b u r u l d u
бурулкан	b u r u l q a n
бурулканга	b u r u l q a n gh a
бурулканды	b u r u l q a n d ih
бурулкандын	b u r u l q a n d ih n
бурулса	b u r u l s a
бурулуп	b u r u l u p
бурулуштагы	b u r u l u sh t a gh ih
бурулуштары	b u r u l u sh t a r ih
бурулушту	b u r u l u sh t u
бурулушу	b u r u l u sh u
бурулча	b u r u l tsh a
бурулчага	b u r u l tsh a gh a
бурулчадан	b u r u l tsh a d a n
бурулчаны	b u r u l tsh a n ih
бурулчанын	b u r u l tsh a n ih n
буруп	b u r u p
буруу	b u r u u
бурууга	b u r u u gh a
буруунун	b u r u u n u n
бурушкан	b u r u sh q a n
бурушпады	b u r u sh p a d ih
бурушпай	b u r u sh p a j
бурушту	b u r u sh t u
бурч	b u r tsh
бурчта	b u r tsh t a
бурчунда	b u r tsh u n d a
бут	b u t
бута	b u t a
бутага	b u t a gh a
бутагына	b u t a gh ih n a
бутакка	b u t a q q a
бутактагы	b u t a q t a gh ih
бутактан	b u t a q t a n
бутактары	b u t a q t a r ih
бутактын	b u t a q t ih n
бутка	b u t q a
буттап	b u t t a p
буттары	b u t t a r ih
буттарын	b u t t a r ih n
буттарып	b u t t a r ih p
буттун	b u t t u n
буту	b u t u
бутубут	b u t u w u t
бутуколу	b u t u q o l u
бутуколун	b u t u q o l u n
бутум	b u t u m
бутун	b u t u n
бутуна	b u t u n a
бутунан	b u t u n a n
бутунун	b u t u n u n
бутуңда	b u t u ng d a
бутуңуз	b u t u ng u z
буу	b u u
буудай	b u u d a j
буудайды	b u u d a j d ih
буудайдын	b u u d a j d ih n
буудайы	b u u d a j ih
буудайыгына	b u u d a j ih gh ih n a
буудан	b u u d a n
буулуга	b u u l u gh a
буулугуп	b u u l u gh u p
буулуккан	b u u l u q q a n
буулутуп	b u u l u t u p
буурадай	b u u r a d a j
буурсундар	b u u r s u n d a r
буурсундардын	b u u r s u n d a r d ih n
буурсундун	b u u r s u n d u n
буурул	b u u r u l
буурусун	b u u r u s u n
буурусундан	b u u r u s u n d a n
буусу	b u u s u
бушайман	b u sh a j m a n
буюм	b u j u m
буюмдай	b u j u m d a j
буюмдан	b u j u m d a n
буюмдар	b u j u m d a r
буюмдарга	b u j u m d a r gh a
буюмдарды	b u j u m d a r d ih
буюмдардын	b u j u m d a r d ih n
буюмдары	b u j u m d a r ih
буюмдун	b u j u m d u n
буюмтерими	b u j u m t e r i m i
буюму	b u j u m u
буюмуна	b u j u m u n a
буюмунан	b u j u m u n a n
буюрса	b u j u r s a
буямасы	b u j a m a s ih
бштаса	b sh t a s a
бшшнип	b sh sh n i p
быгл	b ih gh l
быйтыгык	b ih j t ih gh ih к
быйыл	b ih j ih l
быйылкы	b ih j ih l q ih
быйылкыдай	b ih j ih l q ih d a j
былдыраганындай	b ih l d ih r a gh a n ih n d a j
былжырабай	b ih l zh ih r a w a j
былжыраган	b ih l zh ih r a gh a n
былк	b ih l к
былкшылк	b ih l кsh ih l к
былкылдатпай	b ih l q ih l d a t p a j
былтыр	b ih l t ih r
былтыркы	b ih l t ih r q ih
бырпырап	b ih r p ih r a p
бырс	b ih r s
быртыйган	b ih r t ih j gh a n
бырыксыган	b ih r ih q s ih gh a n
бырыш	b ih r ih sh
бырыштуу	b ih r ih sh t u u
бырыштырып	b ih r ih sh t ih r ih p
бырыштырышка	b ih r ih sh t ih r ih sh q a
бырышы	b ih r ih sh ih
бырышына	b ih r ih sh ih n a
бытпылдык	b ih t p ih l d ih к
бытчыт	b ih t tsh ih t
бытыкый	b ih t ih q ih j
бытырандылыгы	b ih t ih r a n d ih l ih gh ih
бытырапды	b ih t ih r a p d ih
бытыңдаган	b ih t ih ng d a gh a n
быча	b ih tsh a
бычагын	b ih tsh a gh ih n
бычак	b ih tsh a к
бычактай	b ih tsh a q t a j
бычактан	b ih tsh a q t a n
бычакташып	b ih tsh a q t a sh ih p
быша	b ih sh a
бышактаганын	b ih sh a q t a gh a n ih n
бышактай	b ih sh a q t a j
бышактайт	b ih sh a q t a j t
бышактап	b ih sh a q t a p
бышкан	b ih sh q a n
бышкырыгын	b ih sh q ih r ih gh ih n
бышкырып	b ih sh q ih r ih p
бышмыгый	b ih sh m ih gh ih j
